-
Zaandam, Amsterdam Sloterdijk, 6
Amsterdam Sloterdijk, Haarlem, 11
Haarlem, Heemstede-Aerdenhout, 6
Heemstede-Aerdenhout, Leiden Centraal, 13
Leiden Centraal, Den Haag Centraal, 12
Den Haag Centraal, Gouda, 18
Gouda, Den Haag Laan v NOI, 28
Den Haag Laan v NOI, Leiden Centraal, 9
Leiden Centraal, Den Haag HS, 12
Den Haag HS, Delft, 8
Delft, Den Haag Centraal, 13
Den Haag Centraal, Leiden Centraal, 12
Leiden Centraal, Schiphol Airport, 15
-
Hengelo, Enschede, 7
Enschede, Hengelo, 7
Hengelo, Almelo, 10
Almelo, Zwolle, 42
Zwolle, Steenwijk, 24
Steenwijk, Heerenveen, 14
Heerenveen, Leeuwarden, 16
Leeuwarden, Groningen, 35
Groningen, Assen, 17
-
Roermond, Sittard, 15
Sittard, Heerlen, 15
Heerlen, Sittard, 15
Sittard, Maastricht, 15
Maastricht, Sittard, 15
Sittard, Roermond, 15
Roermond, Weert, 14
Weert, Eindhoven, 17
Eindhoven, Helmond, 9
Helmond, Venlo, 30
-
Amsterdam Zuid, Amsterdam Amstel, 10
Amsterdam Amstel, Amsterdam Centraal, 8
Amsterdam Centraal, Utrecht Centraal, 27
Utrecht Centraal, Amersfoort, 14
Amersfoort, Zwolle, 35
Zwolle, Assen, 40
Assen, Groningen, 17
-
Den Haag HS, Gouda, 21
Gouda, Rotterdam Alexander, 10
Rotterdam Alexander, Rotterdam Centraal, 8
Rotterdam Centraal, Schiedam Centrum, 5
Schiedam Centrum, Rotterdam Blaak, 11
Rotterdam Blaak, Dordrecht, 14
Dordrecht, Breda, 18
Breda, Etten-Leur, 7
Etten-Leur, Roosendaal, 11
Roosendaal, Dordrecht, 22
Dordrecht, Rotterdam Centraal, 17
Rotterdam Centraal, Schiedam Centrum, 5
Schiedam Centrum, Rotterdam Blaak, 11
Rotterdam Blaak, Rotterdam Alexander, 9
Rotterdam Alexander, Rotterdam Centraal, 8
-
Beverwijk, Haarlem, 16
Haarlem, Heemstede-Aerdenhout, 6
Heemstede-Aerdenhout, Leiden Centraal, 13
Leiden Centraal, Den Haag Centraal, 12
Den Haag Centraal, Leiden Centraal, 12
Leiden Centraal, Alphen a/d Rijn, 14
Alphen a/d Rijn, Utrecht Centraal, 28
Utrecht Centraal, s-Hertogenbosch, 27
s-Hertogenbosch, Eindhoven, 18
Eindhoven, Tilburg, 21
Tilburg, Breda, 13
-
Amsterdam Zuid, Amsterdam Amstel, 10
Amsterdam Amstel, Utrecht Centraal, 19
Utrecht Centraal, Ede-Wageningen, 24
Ede-Wageningen, Arnhem Centraal, 10
Arnhem Centraal, Nijmegen, 12
Nijmegen, Oss, 16
Oss, s-Hertogenbosch, 11
s-Hertogenbosch, Tilburg, 15
Tilburg, Eindhoven, 21
Eindhoven, s-Hertogenbosch, 18
-
Hilversum, Utrecht Centraal, 15
Utrecht Centraal, Gouda, 18
Gouda, Den Haag Centraal, 18
Den Haag Centraal, Leiden Centraal, 12
Leiden Centraal, Schiphol Airport, 15
Schiphol Airport, Utrecht Centraal, 33
Utrecht Centraal, Amersfoort, 14
Amersfoort, Zwolle, 35
-
Assen, Groningen, 17
Groningen, Assen, 17
Assen, Zwolle, 40
Zwolle, Deventer, 24
Deventer, Zutphen, 12
Zutphen, Dieren, 8
Dieren, Arnhem Centraal, 12
Arnhem Centraal, Nijmegen, 12
Nijmegen, Oss, 16
Oss, s-Hertogenbosch, 11
-
Castricum, Alkmaar, 9
Alkmaar, Den Helder, 36
Den Helder, Alkmaar, 36
Alkmaar, Hoorn, 24
Hoorn, Zaandam, 26
Zaandam, Castricum, 12
Castricum, Alkmaar, 9
-
Castricum, Beverwijk, 13
Beverwijk, Zaandam, 25
Zaandam, Amsterdam Sloterdijk, 6
Amsterdam Sloterdijk, Amsterdam Zuid, 16
Amsterdam Zuid, Amsterdam Amstel, 10
Amsterdam Amstel, Amsterdam Zuid, 10
Amsterdam Zuid, Schiphol Airport, 6
Schiphol Airport, Utrecht Centraal, 33
Utrecht Centraal, Amsterdam Centraal, 27
Amsterdam Centraal, Amsterdam Sloterdijk, 6
Amsterdam Sloterdijk, Zaandam, 6
-
Amsterdam Amstel, Almere Centrum, 27
Almere Centrum, Lelystad Centrum, 14
Lelystad Centrum, Almere Centrum, 14
Almere Centrum, Amsterdam Amstel, 27
Amsterdam Amstel, Amsterdam Centraal, 8
Amsterdam Centraal, Almere Centrum, 20
Almere Centrum, Hilversum, 26
Hilversum, Amsterdam Amstel, 28
